#NN 	 Count 	 V 	 A 	 C 	 G 	 T 	 B 	 L 	 L1 	 P 	 F 	 P1 	 F1 	 Ngal 	 Ngroup 
1 	 274 	 266.13384808986217 	 204.4302441894546 	 51.245614652493764 	 0.0 	 3.905496211850495 	 3.9892241624134064 	 4.077996441863421 	 4.077996441863421 	 0.010605562527060162 	 0.011004072381874898 	 0.010605562527060162 	 0.011004072381874898 	 5 	 1
2 	 5700 	 5669.914273930547 	 1585.7637863431462 	 144.0256568727906 	 0.0 	 10.726529996637767 	 11.010286783442746 	 11.461197611680916 	 11.461197611680916 	 0.01305420152710731 	 0.0200659119936028 	 0.01305420152710731 	 0.0200659119936028 	 23 	 2
3 	 2017 	 1994.9919955030591 	 894.1073751788143 	 117.5411855832044 	 0.0 	 6.693800043101344 	 7.606758182185414 	 9.353630351224403 	 9.353630351224403 	 0.0638407343756515 	 0.10299717872605758 	 0.0638407343756515 	 0.10299717872605758 	 17 	 3
4 	 23789 	 23611.91217455455 	 5389.060172353571 	 346.3659936172428 	 0.0 	 13.144358062108532 	 15.558860487640242 	 27.56293000156003 	 27.56293000156003 	 0.08411957081910046 	 0.2783759528010826 	 0.08411957081910046 	 0.2783759528010826 	 103 	 16
5 	 5210 	 4989.456499963229 	 1712.4898589727668 	 157.46318680997868 	 0.0 	 8.740705482990965 	 10.875493464001478 	 12.53052226790532 	 12.53052226790532 	 0.10882781046313864 	 0.07070954847081161 	 0.10882781046313864 	 0.07070954847081161 	 16 	 3
7 	 1858 	 1834.5690426318831 	 840.6103988136194 	 117.40375404110436 	 0.0 	 6.547274618138449 	 7.159995910516732 	 9.34269389659342 	 9.34269389659342 	 0.04470045959167314 	 0.1322631650712042 	 0.04470045959167314 	 0.1322631650712042 	 10 	 2
8 	 592 	 504.2421753467783 	 458.00289370215415 	 100.81528145075609 	 0.0 	 3.3028754770795894 	 4.542990775915939 	 8.022625191044249 	 8.022625191044249 	 0.15805970416114057 	 0.2769171383462299 	 0.15805970416114057 	 0.2769171383462299 	 4 	 1
9 	 13434 	 13387.488405826633 	 3191.7810377033034 	 227.2026106759543 	 0.0 	 12.58308911014129 	 14.048170609516246 	 18.08020928623078 	 18.08020928623078 	 0.05501360111378904 	 0.12549772785923363 	 0.05501360111378904 	 0.12549772785923363 	 53 	 9
10 	 698 	 680.5963246543746 	 387.676291294505 	 71.27080554629003 	 0.0 	 5.266736759024666 	 5.439482384448583 	 5.671550500416664 	 5.671550500416664 	 0.01613507281225666 	 0.020886277484084306 	 0.01613507281225666 	 0.020886277484084306 	 6 	 1
11 	 696 	 630.4938272336902 	 419.169933354555 	 76.68423145669996 	 0.0 	 4.51244550524849 	 5.466181578558832 	 6.102337246768407 	 6.102337246768407 	 0.09557788514393968 	 0.05499024359253531 	 0.09557788514393968 	 0.05499024359253531 	 6 	 1
13 	 617 	 606.5744395217606 	 351.49202940999146 	 66.90535286441562 	 0.0 	 5.177139639894078 	 5.253571117430524 	 5.324158813839622 	 5.324158813839622 	 0.007327542610916996 	 0.006673236778377659 	 0.007327542610916996 	 0.006673236778377659 	 4 	 1
15 	 3609 	 3579.7977731142946 	 1356.737175694431 	 156.66057798805352 	 0.0 	 7.915603339936523 	 8.660361101169254 	 12.466652687216046 	 12.466652687216046 	 0.044929980628207015 	 0.18016230898373925 	 0.044929980628207015 	 0.18016230898373925 	 28 	 4
16 	 262 	 254.77393735712292 	 199.58879369970327 	 50.762649755411 	 0.0 	 3.829482597211093 	 3.9318040855112826 	 4.039563316508126 	 4.039563316508126 	 0.013183572838247339 	 0.013518286833642142 	 0.013183572838247339 	 0.013518286833642142 	 5 	 1
17 	 3679 	 3653.66710442736 	 1156.5316769712758 	 121.11071601848079 	 0.0 	 9.477476087803094 	 9.549375274065723 	 9.637684557870003 	 9.637684557870003 	 0.0037788273474779832 	 0.004602543827861249 	 0.0037788273474779832 	 0.004602543827861249 	 14 	 3
18 	 241 	 237.75883577337186 	 194.31685620011595 	 50.79442735208803 	 0.0 	 3.6706877687726296 	 3.825554619470045 	 4.042092097303491 	 4.042092097303491 	 0.020659264025442006 	 0.027522521743610567 	 0.020659264025442006 	 0.027522521743610567 	 7 	 1
19 	 2997 	 2972.881784810827 	 1046.7807475301177 	 117.92362161204636 	 0.0 	 8.520070105870834 	 8.876768990134076 	 9.38406364342772 	 9.38406364342772 	 0.020503660595743274 	 0.02778047767445611 	 0.020503660595743274 	 0.02778047767445611 	 21 	 3
21 	 3164 	 3130.8688117150555 	 1111.4557854452844 	 131.5365585149198 	 0.0 	 8.449786112651072 	 8.450724318630623 	 10.46734674247291 	 10.46734674247291 	 5.551347004376526e-05 	 0.10659767675725462 	 5.551347004376526e-05 	 0.10659767675725462 	 18 	 3
22 	 6050 	 6005.067731344358 	 1659.8344012377763 	 147.88984791749712 	 0.0 	 10.85361478265466 	 11.223450592523047 	 11.768700164589156 	 11.768700164589156 	 0.016752036721520588 	 0.023714596247480037 	 0.016752036721520588 	 0.023714596247480037 	 25 	 7
23 	 6341 	 6292.54477257195 	 2234.6321151437664 	 251.12475694369743 	 0.0 	 8.447759338006893 	 8.898493889412801 	 19.98387320017011 	 19.98387320017011 	 0.0259845481036458 	 0.38381131561600795 	 0.0259845481036458 	 0.38381131561600795 	 33 	 7
25 	 5913 	 5865.899953780796 	 1764.9116690570759 	 164.3986585941648 	 0.0 	 9.970867194018926 	 10.735560035279509 	 13.082429576469115 	 13.082429576469115 	 0.036930216535790664 	 0.09853348579982477 	 0.036930216535790664 	 0.09853348579982477 	 53 	 9
26 	 11119 	 11088.592414239327 	 2712.7091358403786 	 203.61126480219036 	 0.0 	 12.262935529360567 	 13.32298160652257 	 16.20286963123072 	 16.20286963123072 	 0.04143084148722323 	 0.09753784917217814 	 0.04143084148722323 	 0.09753784917217814 	 51 	 9
27 	 5807 	 5762.376928637362 	 2170.6217165052367 	 234.87434488842308 	 0.0 	 7.964137949262234 	 9.241629678781603 	 18.690706497231588 	 18.690706497231588 	 0.07424787763826203 	 0.33828451579944646 	 0.07424787763826203 	 0.33828451579944646 	 35 	 7
29 	 19462 	 19443.789837580625 	 3903.7104696901038 	 237.89627304343196 	 0.0 	 14.942545039046534 	 16.409296454078603 	 18.931183899000704 	 18.931183899000704 	 0.04678358096935711 	 0.07135973873944138 	 0.04678358096935711 	 0.07135973873944138 	 125 	 25
30 	 3556 	 3533.4941238084402 	 1138.3047387731772 	 120.54383172481093 	 0.0 	 9.312517123358488 	 9.443077447312351 	 9.592573339120646 	 9.592573339120646 	 0.00696114023268706 	 0.007853468919215663 	 0.00696114023268706 	 0.007853468919215663 	 14 	 3
31 	 23910 	 23874.123974414535 	 4888.650944785349 	 279.00216467672493 	 0.0 	 14.650743677996099 	 17.521910449869612 	 22.202286820819886 	 22.202286820819886 	 0.08924245915374164 	 0.1178217986145107 	 0.08924245915374164 	 0.1178217986145107 	 98 	 19
32 	 2133 	 2110.662831944246 	 823.6912727919636 	 103.56864288493715 	 0.0 	 7.687332262693505 	 7.95309516324424 	 8.241730732228502 	 8.241730732228502 	 0.016992048446834614 	 0.017822702809355336 	 0.016992048446834614 	 0.017822702809355336 	 12 	 3
33 	 2624 	 2604.1751883256875 	 947.6400869256044 	 111.74920067316563 	 0.0 	 8.244190671927953 	 8.480061434150029 	 8.892718836851234 	 8.892718836851234 	 0.01410351630231375 	 0.02375310090060916 	 0.01410351630231375 	 0.02375310090060916 	 14 	 3
35 	 2264 	 2249.6962067859736 	 858.7077612720107 	 105.67626161115817 	 0.0 	 7.859587306350233 	 8.125834015889726 	 8.40944970144406 	 8.40944970144406 	 0.016655595381091008 	 0.017152151145554437 	 0.016655595381091008 	 0.017152151145554437 	 12 	 2
36 	 497 	 479.2711854308728 	 310.2351107410232 	 64.34775067438679 	 0.0 	 4.634593269789087 	 4.821226965817009 	 5.1206312983367495 	 5.1206312983367495 	 0.01973744121373509 	 0.03011553017198698 	 0.01973744121373509 	 0.03011553017198698 	 13 	 2
37 	 2552 	 2518.9475596674847 	 919.100475428748 	 109.26106399938354 	 0.0 	 8.221998444160622 	 8.411967097757108 	 8.694719211490911 	 8.694719211490911 	 0.011420527060595572 	 0.01652874838658525 	 0.011420527060595572 	 0.01652874838658525 	 12 	 2
38 	 1610 	 1598.8589587091892 	 677.3179199824709 	 93.39351534150586 	 0.0 	 7.081721499782117 	 7.252301377732357 	 7.43201980966471 	 7.43201980966471 	 0.011900349218629005 	 0.012238797397498904 	 0.011900349218629005 	 0.012238797397498904 	 21 	 4
39 	 676 	 657.8318714039453 	 383.788563815629 	 71.59224700397009 	 0.0 	 5.142142836647675 	 5.360755946022288 	 5.697129998868887 	 5.697129998868887 	 0.020814549763664276 	 0.03041938165423072 	 0.020814549763664276 	 0.03041938165423072 	 3 	 1
40 	 11042 	 11014.849826883094 	 2553.091859242099 	 186.32716694129726 	 0.0 	 12.942953603893734 	 13.702198671042186 	 14.827444825508124 	 14.827444825508124 	 0.02849467923148801 	 0.03944129742111912 	 0.02849467923148801 	 0.03944129742111912 	 57 	 12
41 	 6877 	 6861.082639797744 	 1860.5054879974148 	 160.9188605387629 	 0.0 	 11.063255686253497 	 11.561761509921002 	 12.805516045729727 	 12.805516045729727 	 0.02203338982441942 	 0.051041998145595055 	 0.02203338982441942 	 0.051041998145595055 	 67 	 14
42 	 3208 	 3182.056593124859 	 1068.6830799323018 	 117.38408831733469 	 0.0 	 8.932648002604571 	 9.104156238307505 	 9.34112894801971 	 9.34112894801971 	 0.009508792877726609 	 0.012847332384313797 	 0.009508792877726609 	 0.012847332384313797 	 20 	 5
43 	 3115 	 3080.3823147088096 	 1032.598267844711 	 114.40175787689742 	 0.0 	 8.94941162686143 	 9.026069939902877 	 9.1038026322552 	 9.1038026322552 	 0.004264604136291078 	 0.004287547639562335 	 0.004264604136291078 	 0.004287547639562335 	 25 	 6
45 	 304 	 286.8748533044424 	 218.9254941120985 	 53.67324622978096 	 0.0 	 3.931129918896761 	 4.078856963017568 	 4.2711812246290375 	 4.2711812246290375 	 0.018442857185491546 	 0.023032740364709 	 0.018442857185491546 	 0.023032740364709 	 11 	 2
46 	 1026 	 1010.4353117749941 	 495.59103013565897 	 79.63254669711543 	 0.0 	 6.116547215342493 	 6.223473324552247 	 6.336956718921052 	 6.336956718921052 	 0.008664986323488392 	 0.009034992749135553 	 0.008664986323488392 	 0.009034992749135553 	 26 	 3
47 	 1927 	 1896.4355925735713 	 765.0404856862624 	 100.04940495931461 	 0.0 	 7.436608760145876 	 7.646627043882654 	 7.961678676338854 	 7.961678676338854 	 0.013923954147868246 	 0.020184870677413255 	 0.013923954147868246 	 0.020184870677413255 	 19 	 3
48 	 245 	 231.43193103205584 	 184.01584737755036 	 48.307051618935176 	 0.0 	 3.7730217423701653 	 3.8092957696764227 	 3.8441530256744394 	 3.8441530256744394 	 0.004784029058216854 	 0.004554450801211471 	 0.004784029058216854 	 0.004554450801211471 	 6 	 1
49 	 960 	 945.9896180169426 	 480.7268422621701 	 79.27756025851414 	 0.0 	 5.903495716395024 	 6.063845061510223 	 6.308707795704061 	 6.308707795704061 	 0.013398911929644828 	 0.019790801221031856 	 0.013398911929644828 	 0.019790801221031856 	 23 	 3
50 	 1151 	 1120.6008539728 	 678.0145734444839 	 117.32455763548484 	 0.0 	 4.958304280746653 	 5.778965521873131 	 9.336391646878692 	 9.336391646878692 	 0.07643109060426564 	 0.23535177404605925 	 0.07643109060426564 	 0.23535177404605925 	 11 	 2
52 	 1492 	 1466.1983406534766 	 627.7732563567646 	 89.08120177120627 	 0.0 	 7.006662003232424 	 7.047202371260329 	 7.08885679922699 	 7.08885679922699 	 0.0028846420420481885 	 0.0029466789480922604 	 0.0028846420420481885 	 0.0029466789480922604 	 12 	 1
55 	 374 	 356.32207200228413 	 245.35414122707542 	 55.77580959887987 	 0.0 	 4.35682972645456 	 4.398934645531399 	 4.438497901307057 	 4.438497901307057 	 0.004808822769552061 	 0.004476781640592234 	 0.004808822769552061 	 0.004476781640592234 	 10 	 2
56 	 881 	 871.179356523872 	 447.63323675521303 	 75.61685084840136 	 0.0 	 5.83857018419037 	 5.919755077510962 	 6.017397796782828 	 6.017397796782828 	 0.006904460585473318 	 0.008179732663232919 	 0.006904460585473318 	 0.008179732663232919 	 12 	 2
57 	 1225 	 1130.761435309003 	 616.3852875319384 	 90.71914972297347 	 0.0 	 5.503512777714111 	 6.794434134514895 	 7.219200555752487 	 7.219200555752487 	 0.10497047726861627 	 0.030310938641250375 	 0.10497047726861627 	 0.030310938641250375 	 9 	 2
58 	 2943 	 2919.3551954728005 	 1069.96390272742 	 122.20840834733295 	 0.0 	 8.185384164917545 	 8.75523965328504 	 9.725036137935442 	 9.725036137935442 	 0.03363840047939608 	 0.05247738159357602 	 0.03363840047939608 	 0.05247738159357602 	 38 	 9
59 	 8770 	 8748.5576602172 	 2102.037689800887 	 165.1818960118775 	 0.0 	 12.48582416385583 	 12.725593667055007 	 13.14475762979087 	 13.14475762979087 	 0.009510353793161301 	 0.016202484377820115 	 0.009510353793161301 	 0.016202484377820115 	 111 	 14
60 	 794 	 772.7948107182076 	 420.75515143671623 	 74.09275089826944 	 0.0 	 5.510055965418929 	 5.678762717481227 	 5.896113776368026 	 5.896113776368026 	 0.0150781558664573 	 0.018777829638380684 	 0.0150781558664573 	 0.018777829638380684 	 30 	 4
61 	 4045 	 4009.745791839502 	 1520.9967315367783 	 170.03367003881038 	 0.0 	 7.908785815314973 	 8.945267905995378 	 13.53084953936649 	 13.53084953936649 	 0.061497495369311164 	 0.20402018473690547 	 0.061497495369311164 	 0.20402018473690547 	 24 	 4
63 	 8005 	 7973.971271013652 	 2209.1328232840347 	 188.76187280274473 	 0.0 	 10.828644416898081 	 11.703278795038063 	 15.021192561920213 	 15.021192561920213 	 0.0388175643025736 	 0.12415264356644651 	 0.0388175643025736 	 0.12415264356644651 	 80 	 15
64 	 860 	 841.1208757801267 	 441.35357477143634 	 75.54618366664103 	 0.0 	 5.717326813648564 	 5.842169032905431 	 6.011774281137063 	 6.011774281137063 	 0.010799970942857662 	 0.014307917942437992 	 0.010799970942857662 	 0.014307917942437992 	 23 	 4
65 	 44784 	 44690.79691751106 	 8783.957705692757 	 494.44400206334666 	 0.0 	 15.263323805127476 	 17.76532361407305 	 39.34660350526046 	 39.34660350526046 	 0.0757524150834917 	 0.37787693358856594 	 0.0757524150834917 	 0.37787693358856594 	 578 	 99
66 	 5697 	 5658.178577162322 	 1913.726347101828 	 202.0738632254223 	 0.0 	 8.869886625741147 	 9.470429854488316 	 16.080527101000765 	 16.080527101000765 	 0.03274443106772688 	 0.25870253149529926 	 0.03274443106772688 	 0.25870253149529926 	 58 	 11
67 	 836 	 814.6365465913015 	 446.701470219139 	 77.70041897436751 	 0.0 	 5.471013199430465 	 5.7490226708623124 	 6.183202880040943 	 6.183202880040943 	 0.024777948541851932 	 0.036387194268697305 	 0.024777948541851932 	 0.036387194268697305 	 8 	 2
69 	 2562 	 2529.029975921685 	 1111.9883122030224 	 141.56012707597415 	 0.0 	 6.822994310735017 	 7.855236747606389 	 11.26499698442907 	 11.26499698442907 	 0.07032471642996552 	 0.17833256039698486 	 0.07032471642996552 	 0.17833256039698486 	 49 	 11
70 	 1454 	 1438.9027621447826 	 627.5123539029569 	 89.72172035687069 	 0.0 	 6.879080960853746 	 6.993984861268918 	 7.139827648752351 	 7.139827648752351 	 0.008282516776640705 	 0.010318715306293086 	 0.008282516776640705 	 0.010318715306293086 	 27 	 5
71 	 9665 	 9590.203163633167 	 2954.084631039434 	 256.06591064143004 	 0.0 	 9.739263793798683 	 11.536422882841476 	 20.37707771795558 	 20.37707771795558 	 0.08447008627063497 	 0.2770192761270853 	 0.08447008627063497 	 0.2770192761270853 	 90 	 18
72 	 1362 	 1334.3095248121247 	 588.4294873329707 	 86.1640639351142 	 0.0 	 6.80273280079736 	 6.829175185795405 	 6.8567183460797665 	 6.8567183460797665 	 0.001939742039342686 	 0.0020125218876072618 	 0.001939742039342686 	 0.0020125218876072618 	 12 	 3
73 	 301 	 283.55010249675394 	 212.61025972078886 	 52.23782495121245 	 0.0 	 4.000984282731141 	 4.070044262358862 	 4.156954028677304 	 4.156954028677304 	 0.008556527738925407 	 0.010563970386761308 	 0.008556527738925407 	 0.010563970386761308 	 39 	 5
75 	 1089 	 1071.9452551089375 	 522.4614708663615 	 82.14429118882025 	 0.0 	 6.155163480273896 	 6.360289477273717 	 6.536834994740383 	 6.536834994740383 	 0.016389818066961544 	 0.013688750376082507 	 0.016389818066961544 	 0.013688750376082507 	 36 	 8
77 	 5237 	 5185.834960070003 	 1663.7207896438283 	 162.39783198704373 	 0.0 	 9.351031120757098 	 10.244722908471843 	 12.923208854072563 	 12.923208854072563 	 0.04560639954868379 	 0.11561178499027815 	 0.04560639954868379 	 0.11561178499027815 	 20 	 4
78 	 926 	 910.2305581673966 	 460.1405228172473 	 76.5812601129141 	 0.0 	 5.934473359971234 	 6.008526395867605 	 6.094143047588239 	 6.094143047588239 	 0.006200539011161531 	 0.0070741956657279816 	 0.006200539011161531 	 0.0070741956657279816 	 13 	 2
79 	 665 	 653.6944145025959 	 383.2899046144399 	 71.30060692955303 	 0.0 	 5.116448985215216 	 5.375689227907147 	 5.673922019145305 	 5.673922019145305 	 0.02470804686576686 	 0.026990342426545865 	 0.02470804686576686 	 0.026990342426545865 	 8 	 2
80 	 6057 	 5995.795858049118 	 2016.9800297168704 	 190.45615680001305 	 0.0 	 8.91798000432969 	 10.590259005566221 	 15.156019398503586 	 15.156019398503586 	 0.08572167894745582 	 0.17733671334089354 	 0.08572167894745582 	 0.17733671334089354 	 88 	 18
81 	 2898 	 2788.900046319688 	 1066.434964363614 	 120.22821202493098 	 0.0 	 7.845485583785057 	 8.870089194560041 	 9.567457121434108 	 9.567457121434108 	 0.061296343342159595 	 0.03782325017234622 	 0.061296343342159595 	 0.03782325017234622 	 9 	 0
82 	 7175 	 7112.032624938823 	 2585.9747484561058 	 333.9382943187629 	 0.0 	 7.7438700276394385 	 8.250698460050575 	 26.573965114253657 	 26.573965114253657 	 0.03168753397762558 	 0.5261577506730922 	 0.03168753397762558 	 0.5261577506730922 	 54 	 11
83 	 3911 	 3878.7977555700572 	 1252.6637440967293 	 128.2276206154868 	 0.0 	 9.289319118197152 	 9.769063311664052 	 10.204029830933475 	 10.204029830933475 	 0.025172345829057505 	 0.021777624335098618 	 0.025172345829057505 	 0.021777624335098618 	 21 	 6
